article,T_surge_s,anchor_dist_m,Mh_kg,Kx_Npm,k_line_Npm,line_len_m,line_angle_deg,pretension_N,drift_H05_N,offset_H0.2_m,offset_H0.3_m,offset_H0.4_m,offset_H0.5_m,heave_geo_pct,T_sway_s,lateral_offset_m,clearance_m,trim_top_deg
1 buoy,12.0,5.0,40.4,11.07,3.14,5.32,20.1,2.55,5.22,0.083,0.176,0.298,0.472,0.986,22.4,0.165,1.686,1.59
1 buoy,12.0,10.0,40.4,11.07,2.86,10.17,10.4,2.44,5.22,0.083,0.176,0.298,0.472,0.493,35.0,0.402,1.686,1.59
1 buoy,15.0,5.0,40.4,7.09,2.01,5.32,20.1,2.23,5.22,0.13,0.274,0.466,0.737,0.863,25.6,0.215,1.686,1.59
1 buoy,15.0,10.0,40.4,7.09,1.83,10.17,10.4,2.13,5.22,0.13,0.274,0.466,0.737,0.431,39.0,0.498,1.686,1.59
1 buoy,20.0,5.0,40.4,3.99,1.13,5.32,20.1,1.99,5.22,0.231,0.488,0.828,1.31,0.767,29.4,0.282,1.686,1.59
1 buoy,20.0,10.0,40.4,3.99,1.03,10.17,10.4,1.9,5.22,0.231,0.488,0.828,1.31,0.384,43.2,0.61,1.686,1.59
1 cluster (4 buoys),12.0,5.0,165.7,45.44,12.88,5.32,20.1,10.3,20.89,0.081,0.171,0.291,0.46,0.995,22.5,0.162,1.27,12.71
1 cluster (4 buoys),12.0,10.0,165.7,45.44,11.74,10.17,10.4,9.83,20.89,0.081,0.171,0.291,0.46,0.497,35.2,0.397,1.27,12.71
1 cluster (4 buoys),15.0,5.0,165.7,29.08,8.24,5.32,20.1,9.0,20.89,0.127,0.267,0.454,0.718,0.869,25.8,0.212,1.27,12.71
1 cluster (4 buoys),15.0,10.0,165.7,29.08,7.51,10.17,10.4,8.59,20.89,0.127,0.267,0.454,0.718,0.434,39.3,0.492,1.27,12.71
1 cluster (4 buoys),20.0,5.0,165.7,16.36,4.64,5.32,20.1,7.98,20.89,0.225,0.476,0.807,1.277,0.771,29.6,0.279,1.27,12.71
1 cluster (4 buoys),20.0,10.0,165.7,16.36,4.23,10.17,10.4,7.62,20.89,0.225,0.476,0.807,1.277,0.385,43.6,0.606,1.27,12.71
4x4 platform (45°),12.0,5.0,668.9,183.39,51.99,5.32,20.1,41.34,83.55,0.08,0.17,0.288,0.456,0.998,22.5,0.161,0.802,3.19
4x4 platform (45°),12.0,10.0,668.9,183.39,47.38,10.17,10.4,39.46,83.55,0.08,0.17,0.288,0.456,0.499,35.3,0.395,0.802,3.19
4x4 platform (45°),15.0,5.0,668.9,117.37,33.27,5.32,20.1,36.07,83.55,0.126,0.265,0.45,0.712,0.871,25.8,0.211,0.802,3.19
4x4 platform (45°),15.0,10.0,668.9,117.37,30.32,10.17,10.4,34.43,83.55,0.126,0.265,0.45,0.712,0.435,39.4,0.49,0.802,3.19
4x4 platform (45°),20.0,5.0,668.9,66.02,18.72,5.32,20.1,31.96,83.55,0.223,0.471,0.8,1.266,0.772,29.7,0.278,0.802,3.19
4x4 platform (45°),20.0,10.0,668.9,66.02,17.06,10.17,10.4,30.52,83.55,0.223,0.471,0.8,1.266,0.386,43.7,0.604,0.802,3.19
