article,attachment,Kx_Npm,Ky_Npm,Kz_geo_Npm,T_surge_s,surge_MAC,dT_heave_pct,T_pitch_unmoored_s,T_pitch_moored_s,dT_pitch_pct,pitch_MAC,T_tilt_unmoored_s,T_tilt_moored_s,dT_tilt_pct,tilt_MAC,offset_H0.5_m,trim_H0.5_deg,buoy_tilt_H0.5_deg,offset_H0.3_m,trim_H0.3_deg,buoy_tilt_H0.3_deg
1 buoy,spar top (+0.72 m),7.09,2.43,1.68,15.2,0.999,-0.429,2.1131,2.0858,-1.291,1.0,,,,,0.747,-0.81,0.81,0.278,-0.302,0.302
1 buoy,"spar, waterline",7.09,2.43,1.68,15.02,1.0,-0.429,2.1131,2.111,-0.099,1.0,,,,,0.737,0.0,0.0,0.274,0.0,0.0
1 buoy,"spar, CoG depth (-0.91 m)",7.09,2.43,1.68,15.08,1.0,-0.429,2.1131,2.1017,-0.538,1.0,,,,,0.753,1.023,1.023,0.28,0.381,0.381
1 cluster (4 buoys),pin plane (+0.72 m),29.08,9.85,6.76,16.54,0.995,-0.45,2.5952,2.5951,-0.004,0.983,2.856,2.6012,-8.921,0.977,0.718,-0.0,3.031,0.267,0.0,1.129
1 cluster (4 buoys),"bow+stern spars, waterline",29.08,9.85,6.76,15.92,0.982,-0.45,2.5952,2.572,-0.895,1.0,2.856,2.7876,-2.393,0.998,0.756,0.0,3.031,0.282,0.0,1.129
1 cluster (4 buoys),"bow+stern spars, CoG depth (-0.91 m)",29.08,9.85,6.76,17.41,0.949,-0.45,2.5952,2.572,-0.895,1.0,2.856,2.848,-0.28,0.999,1.022,-0.0,10.7,0.38,0.0,3.985
4x4 platform (45°),pin plane (+0.72 m),117.37,39.62,27.09,16.48,0.994,-0.452,2.6305,2.6267,-0.145,0.919,2.9235,2.6678,-8.747,0.914,0.712,0.0,3.031,0.265,0.0,1.129
4x4 platform (45°),"bow+stern rows (8 spars), waterline",117.37,39.62,27.09,15.84,0.982,-0.452,2.6305,2.621,-0.36,0.907,2.9235,2.8555,-2.327,0.998,0.75,-0.0,3.031,0.279,0.0,1.129
4x4 platform (45°),"bow+stern rows (8 spars), CoG depth (-0.91 m)",117.37,39.62,27.09,17.35,0.947,-0.452,2.6305,2.6212,-0.354,0.908,2.9235,2.9142,-0.32,0.999,1.015,-0.0,10.7,0.378,-0.0,3.985
4x4 platform (45°),"4 corner spars, waterline",117.37,39.62,27.09,16.74,0.962,-0.452,2.6305,2.6234,-0.268,0.904,2.9235,2.8541,-2.376,0.996,0.826,0.0,9.094,0.307,-0.0,3.386
